2015-06-07 12:23:45 INFO  TransactionFactoryInitiator:73 - HHH000268: Transaction strategy: org.hibernate.engine.transaction.internal.jdbc.JdbcTransactionFactory
2015-06-07 12:23:45 INFO  ASTQueryTranslatorFactory:48 - HHH000397: Using ASTQueryTranslatorFactory
2015-06-07 12:23:46 INFO  SchemaUpdate:182 - HHH000228: Running hbm2ddl schema update
2015-06-07 12:23:46 INFO  SchemaUpdate:193 - HHH000102: Fetching database metadata
2015-06-07 12:23:46 INFO  SchemaUpdate:205 - HHH000396: Updating schema
2015-06-07 12:23:46 INFO  TableMetadata:65 - HHH000261: Table found: ACP6.posts
2015-06-07 12:23:46 INFO  TableMetadata:66 - HHH000037: Columns: [creationdate, owner_id, id, body, title]
2015-06-07 12:23:46 INFO  TableMetadata:68 - HHH000108: Foreign keys: [fk_664e18c4212943c396213daa691]
2015-06-07 12:23:46 INFO  TableMetadata:69 - HHH000126: Indexes: [fk_664e18c4212943c396213daa691, primary]
2015-06-07 12:23:46 INFO  TableMetadata:65 - HHH000261: Table found: ACP6.users
2015-06-07 12:23:46 INFO  TableMetadata:66 - HHH000037: Columns: [full_name, pass, posttype, id, email]
2015-06-07 12:23:46 INFO  TableMetadata:68 - HHH000108: Foreign keys: []
2015-06-07 12:23:46 INFO  TableMetadata:69 - HHH000126: Indexes: [uk_016b2f138d2846cfbc07763ffb9, primary]
2015-06-07 12:23:46 INFO  SchemaUpdate:242 - HHH000232: Schema update complete
2015-06-07 12:24:32 INFO  Version:37 - HCANN000001: Hibernate Commons Annotations {4.0.1.Final}
2015-06-07 12:24:32 INFO  Version:41 - HHH000412: Hibernate Core {4.2.1.Final}
2015-06-07 12:24:32 INFO  Environment:239 - HHH000206: hibernate.properties not found
2015-06-07 12:24:32 INFO  Environment:342 - HHH000021: Bytecode provider name : javassist
2015-06-07 12:24:33 INFO  DriverManagerConnectionProviderImpl:98 - HHH000402: Using Hibernate built-in connection pool (not for production use!)
2015-06-07 12:24:33 INFO  DriverManagerConnectionProviderImpl:134 - HHH000115: Hibernate connection pool size: 1
2015-06-07 12:24:33 INFO  DriverManagerConnectionProviderImpl:137 - HHH000006: Autocommit mode: true
2015-06-07 12:24:33 INFO  DriverManagerConnectionProviderImpl:151 - HHH000401: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/ACP6]
2015-06-07 12:24:33 INFO  DriverManagerConnectionProviderImpl:156 - HHH000046: Connection properties: {user=root, password=****, autocommit=true, release_mode=auto}
2015-06-07 12:24:34 INFO  Dialect:128 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2015-06-07 12:24:34 INFO  TransactionFactoryInitiator:73 - HHH000268: Transaction strategy: org.hibernate.engine.transaction.internal.jdbc.JdbcTransactionFactory
2015-06-07 12:24:34 INFO  ASTQueryTranslatorFactory:48 - HHH000397: Using ASTQueryTranslatorFactory
2015-06-07 12:24:34 INFO  SchemaUpdate:182 - HHH000228: Running hbm2ddl schema update
2015-06-07 12:24:34 INFO  SchemaUpdate:193 - HHH000102: Fetching database metadata
2015-06-07 12:24:34 INFO  SchemaUpdate:205 - HHH000396: Updating schema
2015-06-07 12:24:34 INFO  TableMetadata:65 - HHH000261: Table found: ACP6.posts
2015-06-07 12:24:34 INFO  TableMetadata:66 - HHH000037: Columns: [creationdate, owner_id, id, body, title]
2015-06-07 12:24:34 INFO  TableMetadata:68 - HHH000108: Foreign keys: [fk_664e18c4212943c396213daa691]
2015-06-07 12:24:34 INFO  TableMetadata:69 - HHH000126: Indexes: [fk_664e18c4212943c396213daa691, primary]
2015-06-07 12:24:34 INFO  TableMetadata:65 - HHH000261: Table found: ACP6.users
2015-06-07 12:24:34 INFO  TableMetadata:66 - HHH000037: Columns: [full_name, pass, posttype, id, email]
2015-06-07 12:24:34 INFO  TableMetadata:68 - HHH000108: Foreign keys: []
2015-06-07 12:24:34 INFO  TableMetadata:69 - HHH000126: Indexes: [uk_016b2f138d2846cfbc07763ffb9, primary]
2015-06-07 12:24:34 INFO  SchemaUpdate:242 - HHH000232: Schema update complete
2015-06-07 12:49:40 INFO  Version:37 - HCANN000001: Hibernate Commons Annotations {4.0.1.Final}
2015-06-07 12:49:40 INFO  Version:41 - HHH000412: Hibernate Core {4.2.1.Final}
2015-06-07 12:49:40 INFO  Environment:239 - HHH000206: hibernate.properties not found
2015-06-07 12:49:40 INFO  Environment:342 - HHH000021: Bytecode provider name : javassist
2015-06-07 12:49:41 INFO  DriverManagerConnectionProviderImpl:98 - HHH000402: Using Hibernate built-in connection pool (not for production use!)
2015-06-07 12:49:41 INFO  DriverManagerConnectionProviderImpl:134 - HHH000115: Hibernate connection pool size: 1
2015-06-07 12:49:41 INFO  DriverManagerConnectionProviderImpl:137 - HHH000006: Autocommit mode: true
2015-06-07 12:49:41 INFO  DriverManagerConnectionProviderImpl:151 - HHH000401: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/ACP6]
2015-06-07 12:49:41 INFO  DriverManagerConnectionProviderImpl:156 - HHH000046: Connection properties: {user=root, password=****, autocommit=true, release_mode=auto}
2015-06-07 12:49:42 INFO  Dialect:128 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2015-06-07 12:49:42 INFO  TransactionFactoryInitiator:73 - HHH000268: Transaction strategy: org.hibernate.engine.transaction.internal.jdbc.JdbcTransactionFactory
2015-06-07 12:49:42 INFO  ASTQueryTranslatorFactory:48 - HHH000397: Using ASTQueryTranslatorFactory
2015-06-07 12:49:43 INFO  SchemaUpdate:182 - HHH000228: Running hbm2ddl schema update
2015-06-07 12:49:43 INFO  SchemaUpdate:193 - HHH000102: Fetching database metadata
2015-06-07 12:49:43 INFO  SchemaUpdate:205 - HHH000396: Updating schema
2015-06-07 12:49:43 INFO  TableMetadata:65 - HHH000261: Table found: ACP6.posts
2015-06-07 12:49:43 INFO  TableMetadata:66 - HHH000037: Columns: [creationdate, owner_id, id, body, title]
2015-06-07 12:49:43 INFO  TableMetadata:68 - HHH000108: Foreign keys: [fk_664e18c4212943c396213daa691]
2015-06-07 12:49:43 INFO  TableMetadata:69 - HHH000126: Indexes: [fk_664e18c4212943c396213daa691, primary]
2015-06-07 12:49:43 INFO  TableMetadata:65 - HHH000261: Table found: ACP6.users
2015-06-07 12:49:43 INFO  TableMetadata:66 - HHH000037: Columns: [full_name, pass, posttype, id, email]
2015-06-07 12:49:43 INFO  TableMetadata:68 - HHH000108: Foreign keys: []
2015-06-07 12:49:43 INFO  TableMetadata:69 - HHH000126: Indexes: [uk_016b2f138d2846cfbc07763ffb9, primary]
2015-06-07 12:49:43 INFO  SchemaUpdate:242 - HHH000232: Schema update complete
2015-06-07 12:50:36 INFO  Version:37 - HCANN000001: Hibernate Commons Annotations {4.0.1.Final}
2015-06-07 12:50:36 INFO  Version:41 - HHH000412: Hibernate Core {4.2.1.Final}
2015-06-07 12:50:36 INFO  Environment:239 - HHH000206: hibernate.properties not found
2015-06-07 12:50:36 INFO  Environment:342 - HHH000021: Bytecode provider name : javassist
2015-06-07 12:50:37 INFO  DriverManagerConnectionProviderImpl:98 - HHH000402: Using Hibernate built-in connection pool (not for production use!)
2015-06-07 12:50:37 INFO  DriverManagerConnectionProviderImpl:134 - HHH000115: Hibernate connection pool size: 1
2015-06-07 12:50:37 INFO  DriverManagerConnectionProviderImpl:137 - HHH000006: Autocommit mode: true
2015-06-07 12:50:37 INFO  DriverManagerConnectionProviderImpl:151 - HHH000401: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/ACP6]
2015-06-07 12:50:37 INFO  DriverManagerConnectionProviderImpl:156 - HHH000046: Connection properties: {user=root, password=****, autocommit=true, release_mode=auto}
2015-06-07 12:50:38 INFO  Dialect:128 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2015-06-07 12:50:38 INFO  TransactionFactoryInitiator:73 - HHH000268: Transaction strategy: org.hibernate.engine.transaction.internal.jdbc.JdbcTransactionFactory
2015-06-07 12:50:38 INFO  ASTQueryTranslatorFactory:48 - HHH000397: Using ASTQueryTranslatorFactory
2015-06-07 12:50:39 INFO  SchemaUpdate:182 - HHH000228: Running hbm2ddl schema update
2015-06-07 12:50:39 INFO  SchemaUpdate:193 - HHH000102: Fetching database metadata
2015-06-07 12:50:39 INFO  SchemaUpdate:205 - HHH000396: Updating schema
2015-06-07 12:50:39 INFO  TableMetadata:65 - HHH000261: Table found: ACP6.posts
2015-06-07 12:50:39 INFO  TableMetadata:66 - HHH000037: Columns: [creationdate, owner_id, id, body, title]
2015-06-07 12:50:39 INFO  TableMetadata:68 - HHH000108: Foreign keys: [fk_664e18c4212943c396213daa691]
2015-06-07 12:50:39 INFO  TableMetadata:69 - HHH000126: Indexes: [fk_664e18c4212943c396213daa691, primary]
2015-06-07 12:50:39 INFO  TableMetadata:65 - HHH000261: Table found: ACP6.users
2015-06-07 12:50:39 INFO  TableMetadata:66 - HHH000037: Columns: [full_name, pass, posttype, id, email]
2015-06-07 12:50:39 INFO  TableMetadata:68 - HHH000108: Foreign keys: []
